,Destination Port,Flow Duration,Total Length of Fwd Packets,Fwd Packet Length Min,Fwd Packet Length Max,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Min,Bwd Packet Length Max,Bwd Packet Length Mean,Bwd Packet Length Std,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Total Fwd Packets,Total Backward Packets,Total Length of Bwd Packets,Flow Bytes/s,Flow Packets/s,Fwd PSH Flags,Min Packet Length
0,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,40,512,251.14285714285714,244.2965606057718,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,20,20,2.4988787188842565,1.457679252682483,12,7,1758,1191.3404292280693,2.4988787188842565,0,40
1,62996,4.802153825759888,1758,40,512,251.14285714285714,244.2965606057718,40,1410,476.75,565.8311866786611,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,20,20,1.457679252682483,2.4988787188842565,7,12,5721,366.0857323165436,1.457679252682483,0,40
2,62996,4.802153825759888,1758,40,512,251.14285714285714,244.2965606057718,40,1410,476.75,565.8311866786611,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,20,20,1.457679252682483,2.4988787188842565,7,12,5721,366.0857323165436,1.457679252682483,0,40
3,62997,4.802153825759888,1758,40,512,251.14285714285714,244.2965606057718,40,1410,476.75,565.8311866786611,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,20,20,1.457679252682483,2.4988787188842565,7,12,5721,366.0857323165436,1.457679252682483,0,40
4,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,40,512,251.14285714285714,244.2965606057718,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,20,20,2.4988787188842565,1.457679252682483,12,7,1758,1191.3404292280693,2.4988787188842565,0,40
5,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,40,512,251.14285714285714,244.2965606057718,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,20,20,2.4988787188842565,1.457679252682483,12,7,1758,1191.3404292280693,2.4988787188842565,0,40
6,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,40,512,251.14285714285714,244.2965606057718,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,20,20,2.4988787188842565,1.457679252682483,12,7,1758,1191.3404292280693,2.4988787188842565,0,40
7,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,40,512,251.14285714285714,244.2965606057718,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,20,20,2.4988787188842565,1.457679252682483,12,7,1758,1191.3404292280693,2.4988787188842565,0,40
8,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,40,512,251.14285714285714,244.2965606057718,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,20,20,2.4988787188842565,1.457679252682483,12,7,1758,1191.3404292280693,2.4988787188842565,0,40
9,62996,4.802153825759888,1758,40,512,251.14285714285714,244.2965606057718,40,1410,476.75,565.8311866786611,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,32,32,1.457679252682483,2.4988787188842565,7,12,5721,366.0857323165436,1.457679252682483,0,40
10,62996,4.802153825759888,1758,40,512,251.14285714285714,244.2965606057718,40,1410,476.75,565.8311866786611,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,20,20,1.457679252682483,2.4988787188842565,7,12,5721,366.0857323165436,1.457679252682483,0,40
11,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,40,512,251.14285714285714,244.2965606057718,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,32,32,2.4988787188842565,1.457679252682483,12,7,1758,1191.3404292280693,2.4988787188842565,0,40
12,62996,4.802153825759888,1758,40,512,251.14285714285714,244.2965606057718,40,1410,476.75,565.8311866786611,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,20,20,1.457679252682483,2.4988787188842565,7,12,5721,366.0857323165436,1.457679252682483,0,40
13,62996,4.802153825759888,1758,40,512,251.14285714285714,244.2965606057718,40,1410,476.75,565.8311866786611,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,20,20,1.457679252682483,2.4988787188842565,7,12,5721,366.0857323165436,1.457679252682483,0,40
14,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,40,512,251.14285714285714,244.2965606057718,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.4776039123535156,0.06822913033621651,0.13404992616698183,0.36391305923461914,0.0,20,20,2.4988787188842565,1.457679252682483,12,7,1758,1191.3404292280693,2.4988787188842565,0,40
15,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,52,52,52.0,52.0,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.09900903701782227,0.09900903701782227,0.09900903701782227,0.09900903701782227,0.09900903701782227,32,32,2.4988787188842565,0.20823989324035472,12,1,52,1191.3404292280693,2.4988787188842565,0,40
16,62998,4.802153825759888,52,52,52,52.0,52.0,40,1410,476.75,565.8311866786611,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,0.09900903701782227,0.09900903701782227,0.09900903701782227,0.09900903701782227,0.09900903701782227,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,32,32,0.20823989324035472,2.4988787188842565,1,12,5721,10.828474448498445,0.20823989324035472,0,52
17,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,52,52,52.0,52.0,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.09900903701782227,0.09900903701782227,0.09900903701782227,0.09900903701782227,0.09900903701782227,20,20,2.4988787188842565,0.20823989324035472,12,1,52,1191.3404292280693,2.4988787188842565,0,40
18,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,52,52,52.0,52.0,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.09900903701782227,0.09900903701782227,0.09900903701782227,0.09900903701782227,0.09900903701782227,20,20,2.4988787188842565,0.20823989324035472,12,1,52,1191.3404292280693,2.4988787188842565,0,40
19,443,4.802153825759888,5721,40,1410,476.75,565.8311866786611,0,0,0,0,0.25274493819788885,0.9216088251638815,4.042403936386108,0.0,4.22554087638855,0.38414007967168634,1.2136245612596666,4.042403936386108,0.0,0.0,0.0,0.0,0.0,0.0,32,32,2.4988787188842565,0.0,12,0,0,1191.3404292280693,2.4988787188842565,0,40
